feature,importance_mean,importance_std
Age (day),10.470183241539512,0.9133866099351652
W/B,5.898031971819907,0.46912774757775966
SP (kg/m3),4.630871017258518,0.365435854894245
F-Agg (kg/m3),4.105195731499663,0.34123547185348213
Cement (kg/m3),2.7290813300114434,0.31160169010346656
FA (kg/m3),1.3837724734051882,0.20715073122193942
SSA (m2/g),1.3615473453817526,0.17943576663146163
Water (kg/m3),1.0221224289285222,0.20056608713540425
SF (kg/m3),0.9207859573979199,0.15765329015951504
C-Agg (kg/m3),0.7628614227941144,0.12875645504029604
NS (kg/m3),0.6731515970347198,0.08045310152748672
GGBS (kg/m3),0.30777048543230207,0.05047820053695777
